rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,participant_name,rater_id,question_order,q_no,q,q_key
3531,"
            <p><b>Welcome</b> to the 'Paced Mentats: Expert Data Annotation' process.</p>
            <p><b>Thank you so much</b> for taking the time and sharing your valuable expertise! We are excited and happy to have you on the team!</p>
            <p>You are accessing version v0.32 (06/26/2024)</p>
            <p><b>If you refresh the page before the automatic download of the results at the end, your annotations will be lost!</b></p>
            <p>
Press any key to begin.</p>
        ", ,html-keyboard-response,0,3535,0.0-0.0,,,,,,
,,,html-keyboard-response,1,9463,0.0-1.0,x1,x1,,,,
2075,"
        <p>

<h2>Instructions 1/2</h2>

        In the following survey, you will be shown one question at a time with a set of possible answers. </p>
        <p><b>Please take your time to read each question and all the answers carefully</b>.</p>
        <p><b>You need to interact with all sliders</b> before you can continue to the next question.</p>
        <p>Informations regarding patient age or nationality are anonymized, if the informaiton is not relevant for the correct answer.</p>
        <p>If you think there is an issue with the question or one of the answers, please use the text box under each question to share your thoughts.</p>
        <p>Potentiall issues could be that the question needs more information (e.g., answer depends on patient age or nationality) or there is a factual error.</p>
        <p>
Press any key to continue.</p>
        ", ,html-keyboard-response,2,12547,0.0-2.0,,,,,,
1789,"
        <p>

<h2>Instructions 2/2</h2>

        <p><b>Move the sliders</b> for each answer option to <b>indicate how confident you are</b> that the answer is a correct response to the question.</p>
        <p>
If you are certain that the answer is a <b>correct choice for the question</b>, move the slide <b>all the way to the right</b>.</p>
        <p>
If you are certain that the answer is an <b>incorrect choice for the question</b>, move the slide <b>all the way to the left</b>.</p>
        <p>Multiple answers can be correct, incorrect, or somewhere in between.</p>
        <p>Ideally, treat each answer as independent from the other options.</p>
        <p>
Press any key to continue.</p>
        ", ,html-keyboard-response,3,15345,0.0-3.0,,,,,,
39622.7,,"{""Q0"":0,""Q1"":100,""Q2"":0,""Q3"":0,""Q4"":0,""comment"":""""}",survey-slider,4,55974,0.0-4.0,,,"[3,0,2,1,4]",185,"A 47-year-old father of three sons presents to an outpatient psychiatrist for an intake for anxiety. On evaluation, he reports recurrent and persistent worries that he is going to run over one of his children when he backs his car out of the driveway. He spends about 1 hour checking that the driveway is clear and that his children are a safe distance from the car when he leaves the house. He has started becoming late for work due to his routine, and this is interfering in his relationship with his supervisor and his wife. He came to the psychiatrist because he is not sure what else to do, and his primary care doctor suggested it. He has a history of similar, recurrent fears that he would hurt someone when driving, but it has never interfered with his life in this way before and got worse once his youngest son started walking. What is an accurate, succinct, and clinically appropriate way to document this information that is useful to a psychiatrist?",q_male
126697.4,,"{""Q0"":0,""Q1"":0,""Q2"":100,""Q3"":0,""Q4"":0,""comment"":""""}",survey-slider,5,183656,0.0-5.0,,,"[3,4,1,0,2]",171,"What is the best summary of the following information for a psychiatrist utilizing the information below before an initial intake: Patient Demographics
Age: 28
Name: Jordan Smith
Sexual Orientation: Straight
Gender Identity: Cis-Man

Chief Complaint (what brings you in): I have been feeling really high energy and have not been sleeping. I have also been making some impulsive decisions and my thoughts have been racing. I just got discharged from the hospital for this.

(MDD)Have you ever had an episode of depression that lasted longer than two weeks: No
If so, describe it:
PHQ-9:
Little interest or pleasure in doing things?
Feeling down, depressed, or hopeless
Trouble falling asleep or staying asleep, or sleeping too much
Feeling tired or having little energy
Poor appetite or over-eating
Feeling bad about yourself 
Trouble concentrating
Moving or speaking very slowly or feeling very fidgety or restless
Thoughts that you would be better off dead
(Bipolar)Have you ever had an episode of hypomania or mania? Please ask if you are uncertain as to what either of these are. Yes
If yes, please describe the episode: For the first time, I have been feeling really high energy and have not been sleeping. I have also been making some impulsive decisions and my thoughts have been racing. It went on for like twelve days. I just got discharged from the hospital for this. I've been super happy.
(Psychosis)Have you ever had a period of time where you felt paranoid or were experiencing hallucinations? No
If yes, please describe: 
(GAD) Have you struggled with anxiety for longer than six months? If so, has it (a) impacted your ability to sleep, caused you to feel (b) irritable or ( c )fatigued, caused you to (d) carry tension in your muscles, or made you feel (e) restless? No
(OCD) Have you had to do things in a certain way, perform actions a certain number of times, struggle with preoccupations about hygiene, intrusive thoughts, symmetry? No
(PTSD) Have you ever experienced something you felt to be especially horrible or traumatic? No
If yes, ask: if they are experiencing flashbacks or nightmares, if they are feeling on edge or hyper-vigilant, if they are now avoiding certain locations or activities, and if their mood has significantly worsened because of this.

Psychiatric History:
Have you received any formal psychiatric diagnoses? Bipolar 1
Have you ever been admitted psychiatrically? If yes, when was it and what was the reason for admission? Yes, just last week for manic episode.
Have you ever attempted suicide? No
Have you taken psychiatric medication in the past? Yes
If so, what medications have you taken? I never took medication in the past, but now I am on quetiapine 200mg at night.
Do you have an outpatient psychiatrist? Not yet
If so, what is their name?
Do you have a therapist? No
If so, what is their name?

Substance Use:
Do you use alcohol? Yes
If so, how many drinks per week? 2-3 drinks per week
Has it ever impacted your life in a negative manner? No
Have you ever had symptoms of withdrawal? No
Do you use marijuana? No
If so, how much do you use per week?
Do you use cocaine? No
Do you use heroin? No
Do you use any other substances? No

Family History
Do you have a family history of substance use? No
If so, which family member and what did they struggle with?
Do you have a family history of suicide? No
If so, which family member?
Do you have a family history of any psychiatric disorders? Yes
If so, which family member and what did they struggle with? My brother has depression

Social History:
Where do you live? Seattle
Who do you live with? Alone
What do you do for work? Software Developer
How far did you go in school? Master's
What are your hobbies? Kayaking
Are you married? No
Do you have children? No
Have you ever been arrested? No",q_male
99219.1,,"{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":100,""Q4"":0,""comment"":""""}",survey-slider,6,283886,0.0-6.0,,,"[0,3,4,1,2]",87,"A <AGE> <NAT> woman presents to a psychiatrist for routine follow-up. She has a diagnosis of a specific phobia (flying on airplanes) for which she was prescribed lorazepam 0.5mg daily as needed prior to airplane trips. Since her last visit three months ago, she has been participating in cognitive behavioral therapy with significant benefit. She shares that she was recently able to successfully take a flight for a business trip without needing the lorazepam PRN. Her total visit time is 11 minutes. Which of the following billing codes most accurately describes the level of service of the encounter?",q_female
42735.7,,"{""Q0"":76,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":0,""comment"":""""}",survey-slider,7,327632,0.0-7.0,,,"[1,0,4,3,2]",177,"A 12-year-old female with no prior psychiatric history presents to an outpatient psychiatrist with her parents for anxiety and behavior concerns. Her parents report that over the last six months, she has seemed increasingly sad and anxious with decreased food intake leading to a 15 pound weight loss. She was very anxious when the topic of food was discussed in the interview, and reported significant fears about weight gain. She reported that she is too fat and that she will feel even worse about herself if she eats more. Her parents also report that she has always been an anxious child, worrying about lots of things and having significant difficulties in controlling her worries. She denies current or history of suicidal ideation. What is an accurate, succinct summary of the case that would be useful to a psychiatrist?",q_female
28974.9,,"{""Q0"":0,""Q1"":0,""Q2"":100,""Q3"":0,""Q4"":0,""comment"":""""}",survey-slider,8,357617,0.0-8.0,,,"[4,2,1,3,0]",78,"A <AGE> <NAT> man presents for an initial psychiatric interview for irritability and after evaluation, you determine that he meets criteria for generalized anxiety disorder. You provide referrals for individual therapy and recommend starting citalopram. You arrange a follow-up visit in two months. Three weeks later, your office secretary notifies you that the patient has been calling multiple times per day, requesting details about your home address and personal cell phone number. What is the appropriate next step in management?",q_male
59135,,"{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":100,""Q4"":0,""comment"":""""}",survey-slider,9,417753,0.0-9.0,,,"[0,4,3,2,1]",129,"A 16-year-old <NAT> non-binary individual with no prior psychiatric history presents to the emergency room due to an acute change in behavior 1 week ago. Psychiatry is consulted. Their mother reports that they had a seizure-like episode 7 days ago and have been reporting that they are a savior sent by God ever since. They have been refusing to attend school and attempted to jump out of their home's second story window due to 'God's will.' On evaluation, they appeared to be attending to internal stimuli and were disorganized throughout the interview. Vitals were remarkable for tachycardia and a fever. Urine drug screen is negative. What would most psychiatrists recommend next in this situation?",q_they
