rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,participant_name,rater_id,question_order,q_no,q,q_key
1553,"<p><b>Welcome</b> to the 'Paced Mentats: Expert Data Annotation' process.</p>
            <p><b>Thank you so much</b> for taking the time and sharing your valuable expertise! We are excited and happy to have you on the team!</p>
            <p>You are accessing version v0.32 (06/26/2024)</p>
            <p><b>If you refresh the page before the automatic download of the results at the end, your annotations will be lost!</b></p>
            <p>
Press any key to begin.</p>",enter,html-keyboard-response,0,1557,0.0-0.0,,,,,,
,,,html-keyboard-response,1,8022,0.0-1.0,x7,x7,,,,
768,"<p>

<h2>Instructions 1/2</h2>

        In the following survey, you will be shown one question at a time with a set of possible answers. </p>
        <p><b>Please take your time to read each question and all the answers carefully</b>.</p>
        <p><b>You need to interact with all sliders</b> before you can continue to the next question.</p>
        <p>Informations regarding patient age or nationality are anonymized, if the informaiton is not relevant for the correct answer.</p>
        <p>If you think there is an issue with the question or one of the answers, please use the text box under each question to share your thoughts.</p>
        <p>Potentiall issues could be that the question needs more information (e.g., answer depends on patient age or nationality) or there is a factual error.</p>
        <p>
Press any key to continue.</p>",enter,html-keyboard-response,2,9794,0.0-2.0,,,,,,
793,"<p>

<h2>Instructions 2/2</h2>

        <p><b>Move the sliders</b> for each answer option to <b>indicate how confident you are</b> that the answer is a correct response to the question.</p>
        <p>
If you are certain that the answer is a <b>correct choice for the question</b>, move the slide <b>all the way to the right</b>.</p>
        <p>
If you are certain that the answer is an <b>incorrect choice for the question</b>, move the slide <b>all the way to the left</b>.</p>
        <p>Multiple answers can be correct, incorrect, or somewhere in between.</p>
        <p>Ideally, treat each answer as independent from the other options.</p>
        <p>
Press any key to continue.</p>",enter,html-keyboard-response,3,11591,0.0-3.0,,,,,,
40939,,"{""Q0"":0,""Q1"":100,""Q2"":12,""Q3"":0,""Q4"":0,""comment"":""""}",survey-slider,4,53538,0.0-4.0,,,"[2,1,0,3,4]",128,"A 17-year-old <NAT> non-binary individual presented to the pediatric psychiatric freestanding emergency room for suicidal ideation. They reported suicidal ideation to their mother, who brought them to the emergency room. On evaluation, the patient reported that they had been experiencing intermittent suicidal ideation without intent or plan for the last several weeks after the death of their grandfather. They reported a desire to be with him and occasionally heard the sound of their grandfather laughing, which they found to be a reassuring experience. They had a long history of feeling anxious around others but had not sought treatment for these symptoms. They denied a history of suicidal ideation or suicide attempts in the past. They reported they had otherwise been eating and sleeping well, had no other medical symptoms or problems, and felt comfortable opening up to their mother about their feelings. Their mother reported she was surprised to hear about her child's intermittent suicidal thoughts, but was happy to check in with them daily to ensure that their suicidal thoughts do not progress to active suicidal ideation with intent and plan. What else should the psychiatrist ask about when planning a disposition for this patient?",q_they
49435,,"{""Q0"":94,""Q1"":0,""Q2"":75,""Q3"":25,""Q4"":50,""comment"":""""}",survey-slider,5,103980,0.0-5.0,,,"[4,2,0,1,3]",80,"A <AGE> <NAT> man with a history of bipolar I disorder with one prior suicide attempt leading to psychiatric admission calls the office requesting to speak to you about worsening depressive symptoms. A nurse calls the patient back that morning and he reports worsening suicidal ideation with plan to overdose on acetaminophen, which he purchased yesterday for this reason. He says he called the office because he is scared and wants help. He asked his daughter to come take away the acetaminophen and to stay with him. What is the most appropriate next step in management?",q_male
184382,,"{""Q0"":0,""Q1"":25,""Q2"":91,""Q3"":13,""Q4"":50,""comment"":""some summaries are not succinct though accurate. Other summaries omit relevant information that inform the diagnoses ""}",survey-slider,6,289367,0.0-6.0,,,"[0,2,1,3,4]",178,"A four-year-old child presents to an outpatient psychiatrist for an intake with his adoptive mother. On evaluation, he runs to the psychiatrist and hugs him, and refuses to step away when asked. He continued to touch and hug the psychiatrist throughout the interview. His mother noted that he has always been this way, and that she often has worried that he would run off with a stranger. During the evaluation, his adoptive mother reported that he has a history of significant physical and emotional neglect from birth to six months from his biological parents, and was placed in foster care at six months with her. She adopted him at age 1.5, but had to give up custody to another family for about six months when he was 2 due to a significant medical illness. He was placed back with her at age 3 and adopted at age 4. She brought him to a psychiatrist due to concerns about anger outbursts and hyperactivity at home. What is an accurate, succinct summary of the case that would be useful to a psychiatrist?",q_male
62110,,"{""Q0"":62,""Q1"":91,""Q2"":13,""Q3"":0,""Q4"":0,""comment"":""""}",survey-slider,7,352482,0.0-7.0,,,"[2,0,3,4,1]",34,"A <AGE> <NAT> man is admitted to the inpatient psychiatric unit for treatment of decompensated schizophrenia. He was admitted after a welfare check was called by a family member. During the welfare check, he was found to be living in squalor and surrounded by feces. His speech is disorganized and he exhibits loose associations. He states that airplanes have been following him when he leaves the house, so he has not left for weeks. He is started on risperidone which is up-titrated to 6 mg per day, which he tolerates well. 1 week later, his speech is linear and goal-directed. He has been able to remain well-groomed while admitted to the unit. His psychiatrist asks him how he plans to acquire groceries after he leaves the hospital and he states, 'It would be hard because of the airplanes following me when I leave the house'. He is unable to reality-test. How would most psychiatrists triage this situation?",q_male
147752,,"{""Q0"":0,""Q1"":12,""Q2"":0,""Q3"":0,""Q4"":100,""comment"":""""}",survey-slider,8,501239,0.0-8.0,,,"[2,0,4,3,1]",176,"What is the best summary of the following information for a psychiatrist utilizing the information below before an initial intake:
Age: 82
Name: Mildred Stone
Sexual Orientation: Straight
Gender Identity: Female

Chief Complaint (what brings you in): Over the last few years, I have got more and more anxious.

(MDD)Have you ever had an episode of depression that lasted longer than two weeks: No
If so, describe it:
PHQ-9:
Little interest or pleasure in doing things?
Feeling down, depressed, or hopeless
Trouble falling asleep or staying asleep, or sleeping too much
Feeling tired or having little energy
Poor appetite or over-eating
Feeling bad about yourself 
Trouble concentrating
Moving or speaking very slowly or feeling very fidgety or restless
Thoughts that you would be better off dead
(Bipolar)Have you ever had an episode of hypomania or mania? No

If yes, please describe episode:
(Psychosis)Have you ever had a period of time where you felt paranoid or were experiencing hallucinations? No
If yes, please describe:
(GAD) Have you struggled with anxiety for longer than six months? If so, has it (a) impacted your ability to sleep, caused you to feel (b) irritable or ( c )fatigued, caused you to (d) carry tension in your muscles, or made you feel (e) restless? Yes. I have felt more and more anxious over the last couple years. I notice muscle tension, irritability, and fatigue due to the anxiety.
(OCD) Have you had to do things in a certain way, perform actions a certain number of times, struggle with preoccupations about hygiene, intrusive thoughts, symmetry? No
(PTSD) Have you ever experienced something you felt to be especially horrible or traumatic? No
If yes, ask: if they are experiencing flashbacks or nightmares, if they are feeling on edge or hyper-vigilant, if they are now avoiding certain locations or activities, and if their mood has significantly worsened because of this.

Psychiatric History:
Have you received any formal psychiatric diagnoses? None
Have you ever been admitted psychiatrically? No
If yes, when was it and what was the reason for admission?
Have you ever attempted suicide? No
Have you taken psychiatric medication in the past? Yes
If so, what medications have you taken? None right now. In my 60s, I took Xanax.
Do you have an outpatient psychiatrist? No
If so, what is their name?
Do you have a therapist? No
If so, what is their name? 

Substance Use:
Do you use alcohol? Yes
If so, how many drinks per week? One glass of wine
Has it ever impacted your life in a negative manner?
Have you ever had symptoms of withdrawal?
Do you use marijuana? No
If so, how much do you use per week? 
Do you use cocaine? No
Do you use heroin? No
Do you use any other substances? No

Family History
Do you have a family history of substance use? No
If so, which family member and what did they struggle with? 
Do you have a family history of suicide? No
If so, which family member?
Do you have a family history of any psychiatric disorders? No
If so, which family member and what did they struggle with?

Social History:
Where do you live? Chicago
Who do you live with? No one
What do you do for work? Retired
How far did you go in school? Master's
What are your hobbies? Cooking
Are you married? Widowed
Do you have children? Yes, one son
Have you ever been arrested? No",q_male
71061,,"{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":100,""comment"":""""}",survey-slider,9,573305,0.0-9.0,,,"[1,4,0,3,2]",86,"A <AGE> <NAT> man presents to a psychiatrist for routine follow-up for medication management. He has a diagnosis of schizophrenia. His current medications include risperidone 5mg nightly and benztropine 1mg twice daily as needed for extrapyramidal symptoms. During the visit, he reports symptoms have been stable since the last visit three months ago and you plan to continue him on the same medications. He is due for routine lab monitoring so you order a basic metabolic panel, lipid panel, and hemoglobin A1c. His total visit time is 15 minutes. Which of the following billing codes most accurately describes the level of service of the encounter?",q_male
