"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","participant_name","rater_id","question_order","q_no","q","q_key"
"2519","
            <p><b>Welcome</b> to the 'Paced Mentats: Expert Data Annotation' process.</p>
            <p><b>Thank you so much</b> for taking the time and sharing your valuable expertise! We are excited and happy to have you on the team!</p>
            <p>You are accessing version v0.32 (06/26/2024)</p>
            <p><b>If you refresh the page before the automatic download of the results at the end, your annotations will be lost!</b></p>
            <p>
Press any key to begin.</p>
        "," ","html-keyboard-response","0","2524","0.0-0.0","","","","","",""
"","","","html-keyboard-response","1","11915","0.0-1.0","x5","x5","","","",""
"1395","
        <p>

<h2>Instructions 1/2</h2>

        In the following survey, you will be shown one question at a time with a set of possible answers. </p>
        <p><b>Please take your time to read each question and all the answers carefully</b>.</p>
        <p><b>You need to interact with all sliders</b> before you can continue to the next question.</p>
        <p>Informations regarding patient age or nationality are anonymized, if the informaiton is not relevant for the correct answer.</p>
        <p>If you think there is an issue with the question or one of the answers, please use the text box under each question to share your thoughts.</p>
        <p>Potentiall issues could be that the question needs more information (e.g., answer depends on patient age or nationality) or there is a factual error.</p>
        <p>
Press any key to continue.</p>
        "," ","html-keyboard-response","2","14315","0.0-2.0","","","","","",""
"829","
        <p>

<h2>Instructions 2/2</h2>

        <p><b>Move the sliders</b> for each answer option to <b>indicate how confident you are</b> that the answer is a correct response to the question.</p>
        <p>
If you are certain that the answer is a <b>correct choice for the question</b>, move the slide <b>all the way to the right</b>.</p>
        <p>
If you are certain that the answer is an <b>incorrect choice for the question</b>, move the slide <b>all the way to the left</b>.</p>
        <p>Multiple answers can be correct, incorrect, or somewhere in between.</p>
        <p>Ideally, treat each answer as independent from the other options.</p>
        <p>
Press any key to continue.</p>
        "," ","html-keyboard-response","3","16150","0.0-3.0","","","","","",""
"158394.59999999404","","{""Q0"":0,""Q1"":85,""Q2"":24,""Q3"":0,""Q4"":0,""comment"":""The correct response would be to call the patient back and discuss her behavior. There is not enough information to conclude that we would want to ask her to stop.""}","survey-slider","4","175554","0.0-4.0","","","[2,1,3,0,4]","78","A <AGE> <NAT> woman presents for an initial psychiatric interview for irritability and after evaluation, you determine that she meets criteria for generalized anxiety disorder. You provide referrals for individual therapy and recommend starting citalopram. You arrange a follow-up visit in two months. Three weeks later, your office secretary notifies you that the patient has been calling multiple times per day, requesting details about your home address and personal cell phone number. What is the appropriate next step in management?","q_female"
"155734.79999999702","","{""Q0"":0,""Q1"":50,""Q2"":50,""Q3"":0,""Q4"":0,""comment"":""Information on additional lab work and neuroimaging would help determine appropriate referrals.""}","survey-slider","5","332299","0.0-5.0","","","[3,2,4,0,1]","129","A 16-year-old <NAT> non-binary individual with no prior psychiatric history presents to the emergency room due to an acute change in behavior 1 week ago. Psychiatry is consulted. Their mother reports that they had a seizure-like episode 7 days ago and have been reporting that they are a savior sent by God ever since. They have been refusing to attend school and attempted to jump out of their home's second story window due to 'God's will.' On evaluation, they appeared to be attending to internal stimuli and were disorganized throughout the interview. Vitals were remarkable for tachycardia and a fever. Urine drug screen is negative. What would most psychiatrists recommend next in this situation?","q_they"
"458127.5","","{""Q0"":65,""Q1"":36,""Q2"":100,""Q3"":0,""Q4"":0,""comment"":""""}","survey-slider","6","791495","0.0-6.0","","","[2,1,3,0,4]","33","A <AGE> <NAT> man is evaluated in an outpatient psychiatry clinic. He has a history of type 1 diabetes and partial paraplegia related to a spinal-cord injury 1 year ago. Since his spinal cord injury, he has no longer been able to engage in his previous hobbies which included swimming and running. He has significant back pain. He is often tearful and feels like life is meaningless now. He thinks about ending his suffering on a daily basis via stopping to administer his insulin. You ask if he would be able to tell his family or present to an emergency room if his suicidal thoughts worsened and he tearfully replies 'I don't know'. He then describes feeling having blurred vision and having a headache. You speak with his husband on the phone who states that he has stopped administering his insulin over the past few days and talks about ending his life on a daily basis. How would most psychiatrists triage this situation?","q_male"
"202174.39999999106","","{""Q0"":0,""Q1"":0,""Q2"":100,""Q3"":0,""Q4"":0,""comment"":""In most EMRs, the billing code is generally accompanied by a description of the code. ""}","survey-slider","7","994681","0.0-7.0","","","[2,1,0,3,4]","93","A <AGE> <NAT> woman presents to the psychiatrist for an initial visit to discuss new onset attentional and memory difficulties. She describes symptoms consistent with a mild neurocognitive disorder. You recommend checking a complete blood count, chem-7 panel, thyroid function tests, vitamin B12, D, and folate levels, and an electrocardiogram. You complete a MoCA with a score of 25/30 and enter a referral for neurology follow-up. You complete a full psychiatric history, including review of past symptoms and treatment, substance use, social history, family history, medical history including a 12-point medical review of systems, current medications, allergies, and review her medical chart. The total visit lasts 45 minutes. Which of the following billing codes most accurately describes the level of service of the encounter?","q_female"
"248180.5","","{""Q0"":41,""Q1"":0,""Q2"":93,""Q3"":51,""Q4"":23,""comment"":""The answer to the question depends on available addiction programs in the area. PHP might work if there are skilled psychiatrists comfortable helping patients detox on an outpatient basis.""}","survey-slider","8","1243876","0.0-8.0","","","[3,4,0,2,1]","131","A <AGE> <NAT> male presents to an addiction psychiatrist for an intake in the outpatient setting. He reports that he has been drinking daily for the last 3 years and recently escalated drinking to 8-10 shots of liquor daily within the last two months. He has tried to quit drinking but has not been able to, and now drinks to prevent withdrawal symptoms. He reports significant cravings to drink and inability to hold a job due to his drinking habits. He reports readiness to make a change, but denies significant support and notes that his few remaining social supports also drink. He is concerned that he may soon become homeless due to his financial situation. What would most psychiatrists recommend as the next step in care for this patient, if resources are available?","q_male"
"451817","","{""Q0"":0,""Q1"":24,""Q2"":32,""Q3"":41,""Q4"":43,""comment"":""I would add the diagnosis of Unspecified mood disorder at this time, with a rule out of MDD and a rule out of medication-induced Depression.""}","survey-slider","9","1696710","0.0-9.0","","","[4,3,0,2,1]","186","A fifty-year-old male presents to a psychiatrist after referral from his primary care provider for mood concerns. On evaluation, he reports worsening mood, low energy, lack of pleasure or enjoyment in things he used to like to do, increased sleep, and irritability for the past two months. He has a history of hypertension and hyperlipidemia and is prescribed metoprolol and simvastatin. He has never experienced a depressed mood before and is typically a happy person. He is diagnosed with major depressive disorder, but he declines to start medication at this time and preferred to initiate therapy only. After two follow-up appointments over the course of the next two months, the psychiatrist learns that he has been resistant to treating his medical conditions with medications, but his husband was worried about his hypertension because he had a history of heart disease in his family. After some thought, the patient recalls that he started his metoprolol and simvastatin about two weeks before he started feeling sad. What is an accurate, succinct, and clinically appropriate way to document this information that is useful to a psychiatrist?","q_male"
